Date,258_0_RV,259_0_RV,260_0_RV,260_1038_RV,260_1039_RV,260_1040_RV,261_0_RV,265_0_RV,266_0_RV,269_0_RV,270_0_RV,273_0_RV,273_278_RV,273_279_RV,273_280_RV,273_281_RV,50_0_RV,50_224_RV,50_225_RV,50_226_RV,50_227_RV,50_228_RV,854_0_RV
2/20/17,6036,12753.95,0,0,0,0,1520.52,54934.249,0,4090.91,1216,309,0,0,0,309,83087.56,33594.32,39936.88,1827.27,1063.64,6665.46,1996
2/21/17,9428.2,36829.61,1360,900,460,0,972.87,83938.257,0,8340.91,2240,1832,0,0,0,1832,109170.23,44848.77,51038.72,3109.09,3249.09,6924.55,1082.4
2/22/17,14268,35970.8,5280.8,1602.4,1678.4,0,1400.34,76536.657,0,14030.91,128,9530,0,0,0,1610,131115.53,42638.71,65393.18,1827.27,13736.36,7520,524
2/23/17,24732,39996.528,2160,900,460,0,1545.21,88366.408,0,9522.73,6080,2395.38,0,0,0,795.38,275196.52,95852.58,51474.86,0,118586.36,9282.72,843.2
2/24/17,18640,46849.598,0,0,0,0,1828.87,89866.389,0,0,8704,762.2,0,0,0,0,163960.73,64983.58,78056.53,0,1236.36,17182.28,1702.4
2/25/17,17604,59274.63,0,0,0,0,1655.66,96671.699,0,0,8032,194.2,0,0,0,194.2,131607.84,60157.4,57309.08,0,0,14141.36,2301.6
2/26/17,7416,5214.4,0,0,0,0,3038.96,26104.798,0,0,1264,0,0,0,0,0,53802.09,23609.35,21440.92,2577.27,0,6174.55,866
2/27/17,11532,25590.788,544,360,184,0,329.05,51557.288,14806.4,13594.55,3768,182.4,0,0,0,182.4,146796.37,93216.85,21400.43,25490,0,6689.09,1229.6
2/28/17,12067.6,55137.999,37643.2,33541.6,4101.6,0,1272.17,55742.949,4834.4,58601.81,2048,4312,0,0,0,1042,174969.68,132933.32,3950,27336.36,0,7480,1156
3/1/17,12948,73898.788,11104.8,8060,3044.8,0,546.08,77335.998,42304.8,61849.99,2816,664.8,0,0,0,664.8,205915.31,154174.17,3174.78,40209.09,918.18,7439.09,2322.4
3/2/17,15948.8,59131.01,144681.6,127029.6,15072,0,2383.65,90066.387,242786.4,165570,2688,110,0,0,0,110,201645.56,102967.21,25262.89,42550,22800,8065.46,1568.8
3/3/17,22868,89265.839,0,0,699.2,0,2013.73,90218.607,455069.009,24583.64,5440,11883,9000,0,0,2883,220482.62,155415.8,10542.28,18109.1,22800,13615.46,1826.4
3/4/17,20915.2,59793.589,0,0,0,0,2358.26,123170.639,0,0,7616,249.4,0,0,0,249.4,217950.63,140868.97,24628.93,3745.45,15200,33507.27,1510.4
3/5/17,9748,13361.999,0,0,0,0,4280.87,54444.398,0,0,640,0,0,0,0,0,82562.37,46757.5,19243.96,4854.55,2227.27,9479.1,1317.6
3/6/17,23834,27841.197,7340.8,6526.4,814.4,0,929.05,53075.199,124515.2,65765.46,4608,816.6,0,0,0,816.6,199201.78,143869.58,40597.65,6231.82,0,8502.73,4119.2
3/7/17,6367.6,80319.408,17488.8,15152,2276.8,0,1404.69,83405.68,49413.6,63914.54,4328.8,412.2,0,0,0,412.2,241856.73,156864,3309.09,73259.09,0,8424.55,1538.8
3/8/17,19220,97379.92,47004.8,43516,2970.4,0,1877.57,91243.588,78606.4,181020,5567.2,873.6,0,0,0,873.6,329262.91,164694.73,4200.46,147000,0,13367.73,1356
3/9/17,17664,114210.118,52246.4,45076,7170.4,0,3110.43,89228.009,86236,39576.37,6200,21061.64,0,0,0,21061.64,230160.63,156465.18,6503.64,69542.73,0,0,2640.8
3/10/17,21688,80180.48,42444,38200,4244,0,2638.61,88637.759,39543.2,83918.18,10160,0,0,0,0,0,228683.12,120594.03,15934.09,78695.46,0,13459.55,1781.6
3/11/17,22694,89415.419,18435.2,16420,2015.2,0,2991.82,124631.59,71842.4,43378.19,7964,276.2,0,0,0,276.2,219844.44,123174.16,39366.19,41304.54,0,15999.54,1252
3/12/17,7908,5834.399,8544,7800,744,0,3101.39,56332.399,20456.8,6790.91,2176,146,0,0,0,146,83400.28,43341.18,5943.64,25181.82,0,8933.64,468.8
3/13/17,13605.6,48393.99,6403.2,5668,735.2,0,900,43932.399,109756.8,18006.37,7408,1476.6,0,0,0,1476.6,185948.75,88826.5,17970.88,70486.36,0,8665,2768
3/14/17,15002.4,48355.19,12624,10500,2124,0,1344.52,76682.089,20656.8,56715.45,4544,2187.89,0,0,0,2187.89,264105.98,209257.8,5640.91,43968.18,0,5239.1,1248
3/15/17,15320,69723.24,43755.2,38954.4,4800.8,0,2673.91,79887.83,27796,91158.18,3648,320.8,0,0,0,320.8,241126.14,176610.69,4490.91,52513.63,1336.36,6174.55,2533.2
